role_mode,event_count
learner_analyst,5
self_learner,4
observer_note_taker,2
learner_observer,2
data_checker,2
learner_note_taker,2
formal_trainee,2
learner_practitioner,2
data_analyst,2
data_practitioner,2
note_taker_observer,1
note_taker_self_learner,1
formal_trainee_data_practitioner,1
translator_self_learner,1
presenter_practitioner,1
presenter_learner,1
self_learner_analyst,1
analyst,1
data_checker_learner,1
translator_learner,1
manual_author,1
analyst_learner,1
analyst_observer,1
meeting_observer_analyst,1
data_preparer,1
data_preparer_analyst,1
data_preparer_tester,1
data_quality_analyst,1
